Score,Method,Member,Comment
0.63861,perceptron,LeoBueno15,
0.63848,perceptron,srjsissel,
0.6325,mlp,Garethsun11,
0.63224,mlp,PasserBy4,
0.63144,mlp,Nathaniel-Nirmal,
0.63131,perceptron,Nathaniel-Nirmal,
0.63011,perceptron,AmonRS,
0.60382,mlp,iamyufan,
0.6009,mlp,connorpugh,
0.59958,mlp,keyxxxxx,
0.59055,perceptron,arielhsieh8,
0.55098,mlp,arielhsieh8,
0.53558,perceptron,jonathanchen301,
0.53346,mlp,ThomasfjWiener,
0.53319,mlp,RachelYanggg,
0.52868,perceptron,TechnoLuckkk,
0.51832,perceptron,zhangdah,
0.49177,mlp,AmonRS,
0.48194,mlp,jihoonkim25,
0.34626,mlp,kevinwiranata,
0.31399,mlp,LeoBueno15,
0.24708,mlp,Marcozc19,
0.10887,mlp,jonathanchen301,
0.06399,mlp,NIC397,
0.05258,mlp,zhouaad,
0.05258,perceptron,zezhili,
0.05258,mlp,zezhili,
0.05258,mlp,ysygMhdyt,
0.05258,perceptron,yixuan-wyx,
0.05258,mlp,yixuan-wyx,
0.05258,perceptron,wjr83,
0.05258,mlp,wjr83,
0.05258,perceptron,wh476,
0.05258,mlp,wh476,
0.05258,perceptron,vschiniah,
0.05258,mlp,vschiniah,
0.05258,perceptron,vrushank-agrawal,
0.05258,mlp,vrushank-agrawal,
0.05258,mlp,theamzhao,
0.05258,perceptron,testtest-account,
0.05258,mlp,testtest-account,
0.05258,perceptron,teas0202,
0.05258,mlp,teas0202,
0.05258,mlp,srjsissel,
0.05258,perceptron,srimoyee1212,
0.05258,mlp,srimoyee1212,
0.05258,perceptron,srilaasya,
0.05258,mlp,srilaasya,
0.05258,perceptron,shahkaran2807,
0.05258,mlp,shahkaran2807,
0.05258,perceptron,ryurtyn,
0.05258,mlp,ryurtyn,
0.05258,perceptron,ryanhlewis,
0.05258,mlp,ryanhlewis,
0.05258,perceptron,ruitian1212,
0.05258,mlp,ruitian1212,
0.05258,perceptron,rl792,
0.05258,mlp,rl792,
0.05258,perceptron,quynhtdang,
0.05258,mlp,quynhtdang,
0.05258,perceptron,pandaofhead,
0.05258,mlp,pandaofhead,
0.05258,perceptron,ndmnh,
0.05258,mlp,ndmnh,
0.05258,perceptron,mikezzb,
0.05258,mlp,mikezzb,
0.05258,perceptron,mhanlon236,
0.05258,mlp,mhanlon236,
0.05258,perceptron,madhavMathur,
0.05258,mlp,madhavMathur,
0.05258,perceptron,liuyi215,
0.05258,mlp,liuyi215,
0.05258,perceptron,kzm6,
0.05258,mlp,kzm6,
0.05258,perceptron,koapushjin,
0.05258,mlp,koapushjin,
0.05258,perceptron,kimianj,
0.05258,mlp,kimianj,
0.05258,perceptron,katherinelui,
0.05258,mlp,katherinelui,
0.05258,perceptron,justinamo,
0.05258,mlp,justinamo,
0.05258,perceptron,jro22,
0.05258,mlp,jro22,
0.05258,mlp,jioffe502,
0.05258,perceptron,jaekim123,
0.05258,mlp,jaekim123,
0.05258,perceptron,jaackiekim,
0.05258,mlp,jaackiekim,
0.05258,perceptron,hst45,
0.05258,mlp,hst45,
0.05258,perceptron,hboon3,
0.05258,mlp,hboon3,
0.05258,perceptron,hanqi-zhou,
0.05258,mlp,hanqi-zhou,
0.05258,perceptron,hangvtran,
0.05258,mlp,hangvtran,
0.05258,perceptron,dwjamie,
0.05258,mlp,dwjamie,
0.05258,perceptron,dontgoga,
0.05258,mlp,dontgoga,
0.05258,perceptron,bronyazh,
0.05258,mlp,bronyazh,
0.05258,perceptron,aryanpatil1503,
0.05258,mlp,aryanpatil1503,
0.05258,perceptron,arman0624,
0.05258,mlp,arman0624,
0.05258,mlp,anya-23-ct,
0.05258,mlp,anthonysukotjo,
0.05258,perceptron,andrewbpark73,
0.05258,mlp,andrewbpark73,
0.05258,perceptron,ananya834,
0.05258,mlp,ananya834,
0.05258,perceptron,aidanasingh,
0.05258,mlp,aidanasingh,
0.05258,perceptron,Toison,
0.05258,mlp,Toison,
0.05258,perceptron,Shoudong-Zhu,
0.05258,mlp,Shoudong-Zhu,
0.05258,perceptron,RuojiaTao,
0.05258,mlp,RuojiaTao,
0.05258,perceptron,Priyanshiguptaaa,
0.05258,mlp,Priyanshiguptaaa,
0.05258,perceptron,PaigeBrown577,
0.05258,mlp,PaigeBrown577,
0.05258,perceptron,Nero-LL,
0.05258,mlp,Nero-LL,
0.05258,perceptron,Mraj23,
0.05258,mlp,Mraj23,
0.05258,perceptron,MintMin,
0.05258,mlp,MintMin,
0.05258,perceptron,MingzheSun,
0.05258,mlp,MingzheSun,
0.05258,perceptron,Mahira-commits,
0.05258,mlp,Mahira-commits,
0.05258,perceptron,MaanasPeri23,
0.05258,mlp,MaanasPeri23,
0.05258,perceptron,LancasterCT,
0.05258,mlp,LancasterCT,
0.05258,perceptron,Khushibhansali,
0.05258,mlp,Khushibhansali,
0.05258,perceptron,JerryGgzm,
0.05258,mlp,JerryGgzm,
0.05258,perceptron,Hbattini,
0.05258,mlp,Hbattini,
0.05258,mlp,CindyCindy424,
0.05258,perceptron,CarlQGan,
0.05258,mlp,CarlQGan,
0.05258,perceptron,Beichen-Ma,
0.05258,mlp,Beichen-Ma,
0.05258,mlp,984580403hyxhj,
0.05258,perceptron,,
0.05258,mlp,,
0.05019,mlp,TechnoLuckkk,
0.04833,perceptron,984580403hyxhj,
,perceptron,ysygMhdyt,Error computing accuracy!
,perceptron,weiweimonster,Error computing accuracy!
,mlp,weiweimonster,Error computing accuracy!
,perceptron,tz275,Error computing accuracy!
,mlp,tz275,Error computing accuracy!
,mlp,lucassmulders,Error computing accuracy!
,perceptron,haranrk,Error computing accuracy!
,mlp,haranrk,Error computing accuracy!
,perceptron,apirjani,Error computing accuracy!
,perceptron,anya-23-ct,Error computing accuracy!
,perceptron,SrijeetaBiswas,Error computing accuracy!
