Score,Method,Member,Comment
0.50137,perceptron,MintMin Vrownie YiChen8185 sy464,
0.50137,mlp,MintMin Vrownie YiChen8185 sy464,
0.50137,perceptron,MingzheSun Vrownie YiChen8185 sy464,
0.50137,mlp,MingzheSun Vrownie YiChen8185 sy464,
0.50137,perceptron,Mercury-W-C-J Vrownie YiChen8185 sy464,
0.50137,mlp,Mercury-W-C-J Vrownie YiChen8185 sy464,
0.50137,mlp,MaximClouser Vrownie YiChen8185 sy464,
0.50137,perceptron,Marcozc19 Vrownie YiChen8185 sy464,
0.50137,mlp,Marcozc19 Vrownie YiChen8185 sy464,
0.50137,perceptron,Mahira-commits Vrownie YiChen8185 sy464,
0.50137,mlp,Mahira-commits Vrownie YiChen8185 sy464,
0.50137,perceptron,MaanasPeri23 Vrownie YiChen8185 sy464,
0.50137,mlp,MaanasPeri23 Vrownie YiChen8185 sy464,
0.50137,perceptron,LisaSamWang Vrownie YiChen8185 sy464,
0.50137,mlp,LisaSamWang Vrownie YiChen8185 sy464,
0.50137,perceptron,LeoBueno15 Vrownie YiChen8185 sy464,
0.50137,mlp,LeoBueno15 Vrownie YiChen8185 sy464,
0.50137,perceptron,LancasterCT Vrownie YiChen8185 sy464,
0.50137,mlp,LancasterCT Vrownie YiChen8185 sy464,
0.50137,perceptron,Khushibhansali Vrownie YiChen8185 sy464,
0.50137,mlp,Khushibhansali Vrownie YiChen8185 sy464,
0.50137,perceptron,K7S3 Vrownie YiChen8185 sy464,
0.50137,mlp,K7S3 Vrownie YiChen8185 sy464,
0.50137,perceptron,JerryGgzm Vrownie YiChen8185 sy464,
0.50137,mlp,JerryGgzm Vrownie YiChen8185 sy464,
0.50137,perceptron,Jasoniee Vrownie YiChen8185 sy464,
0.50137,mlp,Jasoniee Vrownie YiChen8185 sy464,
0.50137,perceptron,Hbattini Vrownie YiChen8185 sy464,
0.50137,mlp,Hbattini Vrownie YiChen8185 sy464,
0.50137,perceptron,Garethsun11 Vrownie YiChen8185 sy464,
0.50137,mlp,Garethsun11 Vrownie YiChen8185 sy464,
0.50137,perceptron,Ethan-Minghao Vrownie YiChen8185 sy464,
0.50137,mlp,Ethan-Minghao Vrownie YiChen8185 sy464,
0.50137,perceptron,DrDrewCain Vrownie YiChen8185 sy464,
0.50137,perceptron,CindyCindy424 Vrownie YiChen8185 sy464,
0.50137,mlp,CindyCindy424 Vrownie YiChen8185 sy464,
0.50137,perceptron,ChengaFEI Vrownie YiChen8185 sy464,
0.50137,mlp,ChengaFEI Vrownie YiChen8185 sy464,
0.50137,mlp,CarlQGan Vrownie YiChen8185 sy464,
0.50137,perceptron,Beichen-Ma Vrownie YiChen8185 sy464,
0.50137,mlp,Beichen-Ma Vrownie YiChen8185 sy464,
0.50137,mlp,AmonRS Vrownie YiChen8185 sy464,
0.50137,perceptron,AmirFone Vrownie YiChen8185 sy464,
0.50137,mlp,AmirFone Vrownie YiChen8185 sy464,
0.50137,perceptron,984580403hyxhj Vrownie YiChen8185 sy464,
0.50137,mlp,984580403hyxhj Vrownie YiChen8185 sy464,
,mlp,Vrownie YiChen8185 iamyufan sy464,Error computing accuracy!
,perceptron,Vrownie YiChen8185 angkywilliam sy464,Error computing accuracy!
,mlp,Vrownie YiChen8185 angkywilliam sy464,Error computing accuracy!
